	Sentence
602	My heart is broken and I'm down on my knees
603	To see my Savior suffering for me
604	But You descended, lifting me up
605	Washing my feet, filling my cup
606	We Sing
607	We've come together in Your name
608	We've come together to proclaim
609	How great You are
610	Once we were going our own ways
611	Now we're a people for Your praise
612	How great You are
613	We sing as sons and daughters
614	Sing to God our Father
615	All because of Jesus
616	We sing, His blood has bought us
617	Sing, Your mercy called us
618	All because of Jesus we sing
619	Jesus, You're powerful to save
620	Jesus, You've risen from the grave
621	How great You are
622	Your blood gave us peace with God
623	Your love has broken down our walls
624	How great You are
625	By grace we have been saved
626	To be Your dwelling place
627	You took our curse and made us one
628	It's nothing we could do
629	Our only boast is You
630	So we rejoice in what You've done
631	You Gave Your Son
632	Father, compassionate and tender
633	Your ears are ever open to my prayers
634	Father, You feed the crying ravens
635	You daily lift the burdens that I bear
636	So I will thank You for Your mercy
637	You gave Your Son
638	Righteous One for the defiled
639	You gave Your Son
640	By His blood we're reconciled
641	To our God
642	Father, You know that I grow weary
643	I need You to draw near me and be my strength
644	Father, I long to know Your presence
645	For You're the joy of heaven and my King
646	So I will thank You for Your mercy
647	Whom have I in heaven but You
648	And none on earth compares with You
649	Precious Children
650	Broken and defiled
651	Clinging to our filth
652	We gloried in our shame
653	Running far from You
654	Still Your mercy sought and saved us
655	Hallelujah
656	We belong to You
657	You have washed our stains
658	And have raised us up with Christ
659	Precious children in Your eyes
660	You gave Your only Son
661	Your joy and Your delight
662	You nailed Him to the cross
663	You crushed Him for our sin
664	How could you love us like You love Him
665	The Greatest of All
666	The greatest of all transactions
667	The costliest purchase price
668	Father, Your Son's atoning death
669	Was given in payment for mine
670	To buy me back from slavery
671	To set me free from my chains
672	Redeemed, how I love to proclaim it
673	Redeemed by the blood of the Lamb
674	Redeemed through Your infinite mercy
675	Your child forever I am
676	Now I'll never know Your judgment
677	You ransomed and saved my soul
678	Jesus, Your death and Yours alone
679	Has canceled the debt that I owed
680	You satisfied the law's demand
681	And new life's been given to me
682	God Delights In You
683	Calling every daughter
684	Calling every son
685	All who've been adopted
686	Through a sacrifice of love
687	There's no need for you to fear
688	Your debts have all been cleared
689	Calling all the downcast
690	Who feel like they're alone
691	Anyone who's longing
692	For a family of their own
693	God's prepared a place for you
694	He's calling you to
695	Come and sing, come and dance
696	The Father's singing over you
697	Come rejoice and be glad
698	For God delights in you, in you
699	Calling all who've wandered
700	Gone off on their own
701	Anyone who wonders
702	If they're welcome back at home
703	The God of grace makes all things new
704	He's calling you to
705	You chose us to be the objects of Your love
706	In spite of all we have done
707	You gave Your beloved Son to die for us
708	To make us daughters and sons
709	Completely Done
710	What reason have I to doubt
711	Why would I dwell in fear
712	When all I have known is grace
713	My future in Christ is clear
714	My sins have been paid in full
715	There's no condemnation here
716	I live in the good of this
717	My Father has brought me near
718	I'm leaving my fears behind me now
719	The old is gone, the new has come
720	What You complete is completely done
721	We're heirs with Christ, the victory won
722	What You complete is completely done
723	I don't know what lies ahead
724	What if I fail again
725	You are my confidence
726	You'll keep me to the end
727	I'm leaving my fears behind me now
728	The old is gone, the new has come
729	What You complete is completely done
730	We're heirs with Christ, the victory won
731	What You complete is completely done
732	The old is gone, the new has come
733	The Prodigal
734	You held out Your arms, I walked away
735	Insolent, I spurned Your face
736	Squandering the gifts You gave to me
737	Holding close forbidden things
738	Destitute, a rebel still, a fool in all my pride
739	The world I once enjoyed is death to me
740	No joy, no hope, no life
741	Where now are the friends that I had bought
742	Gone with every penny lost
743	What hope could there be for such as I
744	Sold out to a world of lies
745	Oh to see Your face again, it seems so distant now
746	Could it be that You would take me back
747	A servant in Your house
748	You held out Your arms, I see them still
749	You never left, You never will
750	Running to embrace me, now I know
751	Your cords of love will always hold
752	Mercy's robe, a ring of grace
753	Such favor undeserved
754	You sing over me and celebrate
755	The rebel now Your child
756	Who Made Me to Know You
757	Who made me to know You, but You
758	When dead in sin You gave me new life
759	Now my heart is filled with love for You, Jesus
760	Father, thank You for Your Spirit's work in me
761	For opening my eyes to the Christ of Calvary
762	Jesus, You gave Your life in exchange for mine
763	Now I will live for You who died, Jesus
764	You placed a crown of grace on my head
765	You covered me in robes of righteousness
766	Forever I will always be Yours, Jesus
767	In You Alone
768	You spoke and time began
769	Light dawned at Your command
770	And by Your Word the earth began to move
771	Carved mountains with Your hands
772	Breathed life into all men
773	You made it all and saw that it was good
774	There is no rival to You, O God
775	All kings and idols will one day fall
776	Who among the gods is like You?
777	Who could ever measure
778	All You've done, O God?
779	Creator, Sustainer, Merciful Savior
780	Forever on Your throne,
781	You stand alone
782	Your Spirit gave the Law
783	In kindness to us all
784	And though we never kept it, You were true
785	Lawmaker, You have saved
786	Lawbreakers from the grave
787	And by Your Son our guilt has been removed
788	Your endless glory shines through Your Son
789	There is no story of greater love
790	Who among the gods is like You?
791	Who could ever measure
792	All You've done, O God?
793	Creator, Sustainer, Merciful Savior
794	Forever on Your throne,
795	You stand alone
796	There is no one like our God (You stand alone)
797	Who among the gods is like You?
798	Who could ever measure
799	All You've done, O God?
800	Creator, Sustainer, Merciful Savior
801	Forever on Your throne,
802	You stand alone
803	At the Foot of the Cross
804	Beneath the Cross of Jesus
805	Lord, I would spend my days
806	In the shadow of the One
807	Who ransomed me
808	May I not become familiar
809	With its marvelous good news
810	But live my life with it
811	Always in my view
812	At the foot of the Cross
813	Lord, I bow down and worship
814	Overcome by so great a love
815	At the foot of the Cross
816	I will cherish all Your mercy
817	All Your goodness, Your wisdom
818	Your power
819	At the foot of the Cross
820	Upon the Cross of Jesus
821	Lord, I would fix my eyes
822	For it always will remind me
823	Of these truths
824	My iniquity seems endless
825	Yet greater still Your grace
826	And I will glory in the Cross
827	Throughout the ages
828	For You Are Holy
829	O God, there's none like You
830	In all the earth, in all the earth
831	O God, who can compare
832	To You, to You
833	Only You have no beginning
834	Only You could make the skies
835	Only You are truth unending
836	Only You are always wise
