	Sentence
3727	Rely then on His precious blood
3728	Don't fear your banishment from God
3729	Since Jesus sets you free
3730	Jesus, all my trust is in Your blood
3731	Jesus, You've rescued us
3732	Through Your great love
3733	How sweet the sound of saving grace
3734	How sweet the sound of saving grace
3735	Christ died for me
3736	How sweet the sound of saving grace
3737	How sweet the sound of saving grace
3738	Christ died for me
3739	Jesus, all my trust is in Your blood
3740	Jesus, You've rescued us
3741	Through Your great love
3742	Greater Than We Can Imagine (Live)
3743	Every day we'll bless You and praise Your name
3744	And on Your glorious splendor we will dwell
3745	On Your wondrous works, Lord, we'll meditate
3746	And of Your awesome power we will tell
3747	We'll speak of Your salvation and Your abundant goodness
3748	Because You are greater than we can imagine
3749	You are too beautiful for us to fathom
3750	Oh, You are great, and greatly to be praised
3751	Every generation shall sing Your worth
3752	And magnify Your mercy and Your grace
3753	We'll sing about the Savior who came to earth
3754	To bear the sins of those He came to save
3755	You fill our hearts with wonder
3756	We'll worship You forever
3757	All I Have Is Christ
3758	I once was lost in darkest night
3759	Yet thought I knew the way
3760	The sin that promised joy and life
3761	Had led me to the grave
3762	I had no hope that You would own
3763	A rebel to Your will
3764	And if You had not loved me first
3765	I would refuse You still
3766	But as I ran my hell-bound race
3767	Indifferent to the cost
3768	You looked upon my helpless state
3769	And led me to the cross
3770	And I beheld God's love displayed
3771	You suffered in my place
3772	You bore the wrath reserved for me
3773	Now all I know is grace
3774	Hallelujah! All I have is Christ
3775	Hallelujah! Jesus is my life
3776	Now, Lord, I would be Yours alone
3777	And live so all might see
3778	The strength to follow Your commands
3779	Could never come from me
3780	Oh Father, use my ransomed life
3781	In any way You choose
3782	And let my song forever be
3783	My only boast is You
3784	Come Praise and Glorify
3785	Come praise and glorify our God
3786	The Father of our Lord
3787	In Christ He has in heav'nly realms
3788	His blessings on us poured
3789	For pure and blameless in His sight
3790	He destined us to be
3791	And now we've been adopted through
3792	His Son eternally
3793	To the praise of Your glory
3794	To the praise of Your mercy and grace
3795	To the praise of Your glory
3796	You are the God who saves
3797	Come praise and glorify our God
3798	Who gives His grace in Christ
3799	In Him our sins are washed away
3800	Redeemed through sacrifice
3801	In Him God has made known to us
3802	The myst'ry of His will
3803	That Christ should be the head of all
3804	His purpose to fulfill
3805	To the praise of Your glory
3806	To the praise of Your mercy and grace
3807	To the praise of Your glory
3808	You are the God who saves
3809	Come praise and glorify our God
3810	For we've believed the Word
3811	And through our faith we have a seal
3812	The Spirit of the Lord
3813	The Spirit guarantees our hope
3814	Until redemption's done
3815	Until we join in endless praise
3816	To God, the Three in One
3817	To the praise of Your glory
3818	To the praise of Your mercy and grace
3819	To the praise of Your glory
3820	You are the God who saves
3821	To the praise of Your glory
3822	To the praise of Your mercy and grace
3823	To the praise of Your glory
3824	You are the God who saves
3825	Hallowed Be Your Name
3826	Who is like You, Father
3827	The Source of life and love?
3828	An overflowing fountain
3829	In Spirit and the Son
3830	Abba! Our Father
3831	Hallowed be Your name
3832	Reigning high in heaven
3833	Receive our grateful praise
3834	Who is like You, Jesus
3835	The Son most glorious?
3836	The fullness of the Godhead
3837	Who came in flesh for us
3838	Savior, Lord Jesus
3839	Hallowed be Your name
3840	Risen now in power
3841	The Lamb for sinners slain
3842	Who is like You, Spirit
3843	Our Comfort from above?
3844	You draw us to the Savior
3845	Reveal the Father’s love
3846	Spirit, O Spirit
3847	Hallowed be Your name
3848	Fount of living water
3849	Come, fill our hearts again
3850	God, there’s no one like You
3851	For who can bear the sight?
3852	Clothed in glorious splendor
3853	In holy, burning light
3854	O God, our God
3855	Who was and is to come
3856	Father, Son, and Spirit
3857	Most holy Three-in-One
3858	We Are Not Ashamed
3859	We, we are not ashamed
3860	For the gospel is the power of God to save
3861	Yes, we, we are not ashamed
3862	For we have no other Savior to proclaim
3863	Christ alone, the Life, the Truth, the Way
3864	The news of Jesus Christ, the crucified
3865	Risen, reigning at the Father’s side
3866	Is foolishness to those who cannot see
3867	Blinded by the lies they have believed
3868	So, let the Church arise, let the anthem ring
3869	Till all the world has heard of Christ the Risen King
3870	The song of the redeemed boldly we shall sing
3871	The hope of all the world is Christ the Risen King!
3872	The enemies of God are in a rage
3873	Opposing Him, their efforts are in vain
3874	Through every age the gospel will endure
3875	The Spirit’s with the Church forevermore
3876	We, we are not ashamed
3877	For we have a sure foundation in His grace
3878	Yes, we, we are not ashamed
3879	For we have a great salvation in His name
3880	Christ alone, the Life, the Truth, the Way
3881	Lamb of God
3882	Hail the perfect Lamb of God
3883	A kingly ransom paid
3884	When You, my Lord, were slain
3885	Love unrivaled here displayed
3886	Calls my heart to praise
3887	The perfect Lamb of God
3888	The light of day was cloaked by night
3889	And heaven closed its eyes
3890	Wrath unspared for countless sins
3891	The guiltless crucified
3892	Hands of kindness driven through
3893	Back on splintered beam
3894	The holy curtain torn in two
3895	Atonement made for me
3896	Insults mock the Son of God
3897	The angels are restrained
3898	But all the cup must be endured
3899	For sinners to be saved
3900	Can grace prevail in such a day
3901	Of scandal and of scorn?
3902	But with a cry “Forgive” You claim
3903	Traitors as Your own
3904	As You drew Your final breath
3905	My debt was satisfied
3906	And love divine in glorious might
3907	Would vanquish death and rise
3908	Great One in Three
3909	Come now, Almighty King, rule and reign over us
3910	Help us Your praise to sing, Father, glorious
3911	Embracing us before all time
3912	You made us heirs with Christ on high
3913	By Your Spirit now we cry
3914	“Abba, Father”
3915	We long for the day, Great One in Three
3916	We finally behold Your majesty
3917	Face to face, we’ll worship and adore
3918	Forevermore
3919	Speak now, Incarnate Word, of Your relentless love
3920	Bearing our fatal curse with Your living blood
3921	When guilt and doubt come rushing in
3922	Help us see Your cross again
3923	You’re the Rock on which we live
3924	Jesus, Savior
3925	Come, Holy Comforter, give grace to weary hearts
3926	Bring back the wanderer, drive away the dark
3927	You’re the summer of our souls
3928	You’re the fountain of our hope
3929	Our assurance here below
3930	Spirit of the Son
3931	Grace Greater Than All Our Sin - Live
3932	Marvelous grace of our loving Lord,
3933	Grace that exceeds our sin and our guilt,
3934	Yonder on Calvary's mount outpoured,
3935	There where the blood of the Lamb was spilt
3936	Grace, grace, God's grace,
3937	Grace that will pardon and cleanse within
3938	Grace, grace, God's grace,
3939	Grace that is greater than all our sin
3940	Dark is the stain that we cannot hide;
3941	What can avail to wash it away?
3942	Look! There is flowing a crimson tide;
3943	Whiter than snow you may be today.
3944	Marvelous, infinite, matchless grace,
3945	Freely bestowed on all who believe,
3946	All who are longing to see His face,
3947	Will you this moment His grace receive?
3948	I Hear the Words of Love - Live
3949	I hear the words of love,
3950	I gaze upon the blood,
3951	I see the mighty sacrifice,
3952	And I have peace with God.
3953	‘Tis everlasting peace!
3954	Sure as Jehovah's Name;
3955	‘Tis stable as His steadfast throne,
3956	Forevermore the same.
3957	The clouds may come and go
3958	And storms may sweep my sky;
3959	This blood-sealed friendship changes not;
3960	The cross is ever nigh.
3961	My love is oft-times low,
3962	My joy still ebbs and flows;
3963	But peace with Him remains the same;
3964	No change Jehovah knows.
3965	I change, He changes not,
3966	The Christ can never die;
3967	His love, not mine, the resting place,
3968	His truth, not mine, the tie.
3969	Public Domain
3970	Jesus Paid It All - Live
3971	I hear the Savior say,
3972	"Thy strength indeed is small.
Child of weakness, watch and pray,
Find in Me thine all in all."
3973	Jesus paid it all, all to Him I owe;
3974	Sin had left a crimson stain,
3975	He washed it white as snow.
3976	Lord, now indeed I find
3977	Thy pow'r, and Thine alone,
3978	Can change the leper's spots
3979	And melt the heart of stone.
3980	For nothing good have I
3981	Whereby Thy grace to claim;
3982	I'll wash my garments white
3983	In the blood of Calv'ry's Lamb.
3984	And when, before the throne,
3985	I stand in Him complete,
3986	Jesus died my soul to save,
3987	My lips shall still repeat.
3988	Public Domain
3989	God Always Keeps His Promises
3990	Oh, God He always keeps His promises
3991	He said the sons of Abraham would be more than the grains of sand
3992	And so, his family grew underneath the Pharaoh's rule
3993	Oh, God He always keeps His promises
3994	He said the blood upon the door would keep the Israelites secure
3995	And so, He stayed His hand and led them to the Promised Land
3996	Our God is good and true; He cannot lie to me and you
3997	We can be sure of this: God always keeps His promises
3998	Oh, God He always keeps His promises
3999	He gave us laws to be obeyed and we broke every one He made
4000	But when we ran from Him, God said He'd take care of our sin
4001	Our God is good and true; He cannot lie to me and you
4002	We can be sure of this: God always keeps His promises
4003	Oh, God He always keeps His promises
4004	He said His Son would set us free through His death at Calvary
4005	He suffered in our place, and then He rose up from the grave
4006	Our God is good and true; He cannot lie to me and you
4007	We can be sure of this: God always keeps His promises
4008	Grace Greater Than All Our Sin
4009	Marvelous grace of our loving Lord,
4010	Grace that exceeds our sin and our guilt,
4011	Yonder on Calvary's mount outpoured,
4012	There where the blood of the Lamb was spilt
4013	Grace, grace, God's grace,
4014	Grace that will pardon and cleanse within
4015	Grace, grace, God's grace,
4016	Grace that is greater than all our sin
4017	Dark is the stain that we cannot hide;
4018	What can avail to wash it away?
4019	Look! There is flowing a crimson tide;
4020	Whiter than snow you may be today.
4021	Marvelous, infinite, matchless grace,
4022	Freely bestowed on all who believe,
4023	All who are longing to see His face,
4024	Will you this moment His grace receive?
4025	(submit corrections)
4026	Praise to the Lord, The Almighty
4027	Praise to the Lord, the Almighty, the King of creation!
4028	O my soul, praise Him, for He is thy health and salvation!
4029	All ye who hear, now to His temple draw near;
4030	Praise Him in glad adoration.
4031	Praise to the Lord, who o'er all things so wondrously reigneth,
4032	Shelters thee under His wings, yea, so gently sustaineth!
4033	Hast thou not seen how thy desires e'er have been
4034	Granted in what He ordaineth?
4035	Praise to the Lord, who doth prosper thy work and defend thee;
4036	Surely His goodness and mercy here daily attend thee;
4037	Ponder anew what the Almighty can do,
4038	If with His love He befriend thee.
4039	Praise to the Lord, oh, let all that is in me adore Him!
4040	All that hath life and breath, come now with praises before Him;
4041	Let the Amen sound from His people again,
4042	Gladly for aye we adore Him.
4043	Time Keeps Slippin' Away
4044	Time keeps slippin' away
4045	And I've been longing for my home
4046	With every glimpse of heaven
4047	I am holding onto hope
4048	Lord, to be with You
4049	Is better than this life
4050	Hurry up the day
4051	When my faith shall be sight
4052	How I yearn to be
4053	Free from these chains
4054	Shed my skin and rise
4055	Join the angels in their praise
4056	In light of grace death
4057	Has lost its fearful sing
4058	To die is gain
4059	For I'll be with my King
4060	O my soul, lift your eyes
4061	Hope will come, He is Christ
4062	Then in triumph we'll rise with Him
4063	How long?
4064	Will You come, will You come, will You come
4065	My head in the clouds
4066	Though my feet upon the dirt
4067	My heart in Your hands
4068	Though my body still on earth
4069	If I were a bird I would
4070	Spread my wings and fly
4071	Leave the world behind
4072	Aim for heaven, say goodbye
4073	Oh, to See You
4074	Christ the King of every age
4075	Enthroned in light 'ere worlds were made
4076	Come in mortal flesh divine
4077	Into our dark came heaven's light
4078	Hanging on the cross of shame
4079	I see the wounds my hands have made
4080	Forgive them Father, now He cries
4081	And with a breath my Savior dies
4082	Oh, to see You, Jesus, I can hardly wait
4083	To behold Your wounds of grace
4084	To express my love
4085	And thank You face to face
4086	My heart is Yours; for You I long
4087	Look into His empty grave
4088	The bonds of death could not constrain
4089	Sin and fear and death are dead
4090	For Christ arose and crushed their head
4091	Oh, to see You, Jesus, I can hardly wait
4092	To behold Your wounds of grace
4093	To express my love
4094	And thank You face to face
4095	My heart is Yours; for You I long
4096	Coming soon to claim His Bride
4097	All the redeemed He'll purify
4098	We'll need no sun or moon to shine
4099	For Christ the Lamb will be our light!
4100	Oh, to see You, Jesus, I can hardly wait
4101	To behold Your wounds of grace
4102	To express my love
4103	And thank You face to face
4104	My heart is Yours; for You I long
4105	Plead for Me
4106	When I am weak I lift up my eyes
4107	To see my Savior plead for me
4108	When fear closes in and doubt sows a seed
4109	I know my Savior pleads for me
4110	Of Your love there is no doubt
4111	Of Your mercies I am sure
4112	Jesus knows my need and for me intercedes
4113	All my hope is Christ
4114	When sins rise up I fall to my knees
4115	To see my Savior plead for me
4116	Storms may rage on, but this is my peace:
4117	I know my Savior pleads for me
4118	Of Your love there is no doubt
4119	Of Your mercies I am sure
4120	Jesus knows my need and for me intercedes
4121	All my hope is Christ
4122	In the Beginning
4123	In the beginning was the Word
4124	And the Word was with God
4125	And the Word was God, He was
4126	With God in the beginning
4127	Through Him all things were made
4128	Apart from Him nothing
4129	Was made that has been made
4130	In Him was life
4131	And the life was the light of men
4132	The light shines in the dark
4133	But the darkness could not comprehend
4134	For God so loved the world
4135	For God so loved the world
4136	That He gave His only Son
4137	That He gave His only Son
4138	If you believe you will not die
4139	You will receive eternal life
4140	All That Thrills My Soul
4141	Spirit of the living God, open up my eyes
4142	Show me the pride that blinds me
4143	Stoop to my weakness, mighty as You are
4144	And show me Jesus as I ought to see Him
4145	For when I see Him, truly see Him
4146	All that thrills my soul is Jesus
4147	No greater joy can be
4148	He bore all my sins and sorrows
4149	His perfect love
4150	Is all that I need
4151	Father, may Your living Word penetrate my heart
4152	And undo the lies that bind me
4153	Shine in my darkness, mighty as You are
4154	And make me know You as I ought to know You
4155	For when I know You, truly know You
4156	Jesus, still my wandering heart, tie me to the rock
4157	That rests on Your work completed
4158	Keep me from falling, mighty as You are
4159	That I may love You as I ought to love You
4160	For when I love You, truly love You
4161	All Creatures of Our God and King
4162	All creatures of our God and King
4163	Lift up your voice and with us sing
4164	O praise Him! Allelujah!
4165	Thou, burning sun with golden beam
4166	Thou, silver moon with softer gleam
4167	O praise Him! O praise Him!
4168	Allelujah! Allelujah! Allelujah!
4169	Let all things their Creator bless
4170	And worship Him in humbleness
4171	O praise Him! Allelujah!
4172	Praise, praise the Father, praise the Son
4173	And praise the Spirit, Three-in-One
4174	O praise Him! O praise Him!
4175	Allelujah! Allelujah! Allelujah!
4176	All the redeemed washed by His blood
4177	Come and rejoice in His great love
4178	O praise Him! Allelujah!
4179	Christ has defeated every sin
4180	Cast all your burdens now on Him
4181	O praise Him! O praise Him!
4182	Allelujah! Allelujah!
4183	O praise Him! O praise Him!
4184	Allelujah! Allelujah! Allelujah!
4185	To Him who loves us
4186	And is returning be honor
4187	For we shall see Him in His glory
4188	He shall return in pow'r to reign
4189	Heaven and earth will join to say
4190	O praise Him! Allelujah!
4191	Then who shall fall on bended knee?
4192	All creatures of our God and King
4193	O praise Him! O praise Him!
4194	Allelujah! Allelujah!
4195	O praise Him! O praise Him!
4196	Allelujah! Allelujah! Allelujah!
4197	We Will Glorify - Live
4198	We will glorify the Lamb
4199	We will glorify the Lord of lords
4200	Who is the great I am
4201	Lord Jehovah reigns in majesty
4202	We will bow before His throne
4203	We will worship Him in righteousness
4204	We will worship Him alone
4205	We will glorify the King of kings
4206	We will glorify the Lamb
4207	We will glorify the Lord of lords
4208	Who is the great I am
4209	He is Lord of Heaven, Lord of Earth
4210	He is Lord of all who live
4211	He is Lord above the universe
4212	All praise to Him we give
4213	Oh, hallelujah to the King of kings
4214	Hallelujah to the Lamb
4215	Hallelujah to the Lord of Lords
4216	Who is the great I am
4217	We will glorify the King of kings
4218	We will glorify the Lamb
4219	We will glorify the Lord of lords
4220	Who is the great I am
4221	Who is the great I am
4222	When Trials Come - Live
4223	When trials come no longer fear
4224	For in the pain our God draws near
4225	To fire a faith worth more than gold
4226	And there His faithfulness is told
4227	And there His faithfulness is told
4228	Within the night I know Your peace
4229	The breath of God brings strength to me
4230	And new each morning mercy flows
4231	As treasures of the darkness grow
4232	As treasures of the darkness grow
4233	I turn to Wisdom not my own
4234	For every battle You have known
4235	My confidence will rest in You
4236	Your love endures Your ways are good
4237	Your love endures Your ways are good
4238	When I am weary with the cost
4239	I see the triumph of the cross
4240	So in it's shadow I shall run
4241	Till He completes the work begun
4242	Till He completes the work begun
4243	One day all things will be made new
4244	I'll see the hope You called me to
4245	And in your kingdom paved with gold
4246	I'll praise your faithfulness of old
4247	I'll praise your faithfulness of old
4248	I'll praise your faithfulness of old
4249	I'll praise your faithfulness of old
4250	O Great God - Live
4251	O great God of highest heaven
4252	Occupy my lowly heart
4253	Own it all and reign supreme
4254	Conquer every rebel power
4255	Let no vice or sin remain
4256	That resists Your holy war
4257	You have loved and purchased me
4258	Make me Yours forevermore
4259	I was blinded by my sin
4260	Had no ears to hear Your voice
4261	Did not know Your love within
4262	Had no taste for heaven's joys
4263	Then Your Spirit gave me life
4264	Opened up Your Word to me
4265	Through the gospel of Your Son
4266	Gave me endless hope and peace
4267	Help me now to live a life
4268	That's dependent on Your grace
4269	Keep my heart and guard my soul
4270	From the evils that I face
4271	You are worthy to be praised
4272	With my every thought and deed
4273	O great God of highest heaven
4274	Glorify Your Name through me
4275	I Asked the Lord That I Might Grow - Live
4276	I asked the Lord that I might grow
4277	In faith and love, and ev'ry grace,
4278	Might more of His salvation know,
4279	And seek more earnestly His face.
4280	'Twas He who taught me thus to pray,
4281	And He, I trust, has answered prayer,
4282	But it has been in such a way
4283	As almost drove me to despair.
4284	I hoped that in some favoured hour
4285	At once He'd answer my request
4286	And, by His love's constraining pow'r,
4287	Subdue my sins, and give me rest.
4288	Instead of this, He made me feel
4289	The hidden evils of my heart
4290	And let the angry pow'rs of hell
4291	Assault my soul, in ev'ry part.
4292	Yea, more with His own hand He seemed
4293	Intent to aggravate my woe,
4294	Crossed all the fair designs I schemed,
4295	Humbled my heart, and laid me low.
4296	Lord, why is this, I trembling cried;
4297	Wilt Thou pursue Thy worm to death?
4298	Tis in this way, the Lord replied,
4299	I answer prayer for grace and faith.
